"과목 및 유형","항목","단위","2018 년",
"개인과외","61 ~ 80%[만원]","만원","4.83657",
"개인과외","81 ~ 100%[만원]","만원","2.99071",
"그룹과외","평  균[만원]","만원","2.43748",
"그룹과외","상위10% 이내[만원]","만원","3.65372",
"그룹과외","11 ~ 30%[만원]","만원","3.13207",
"그룹과외","31 ~ 60%[만원]","만원","2.68979",
"그룹과외","61 ~ 80%[만원]","만원","1.98195",
"그룹과외","81 ~ 100%[만원]","만원","1.13822",
"학원수강","평  균[만원]","만원","18.073",
"학원수강","상위10% 이내[만원]","만원","25.63293",
"학원수강","11 ~ 30%[만원]","만원","24.23605",
"학원수강","31 ~ 60%[만원]","만원","19.74337",
"학원수강","61 ~ 80%[만원]","만원","14.31631",
"학원수강","81 ~ 100%[만원]","만원","8.86598",
"방문학습지","평  균[만원]","만원",".05188",
"방문학습지","상위10% 이내[만원]","만원",".05953",
"방문학습지","11 ~ 30%[만원]","만원",".05155",
"방문학습지","31 ~ 60%[만원]","만원",".04662",
"방문학습지","61 ~ 80%[만원]","만원",".04894",
"방문학습지","81 ~ 100%[만원]","만원",".05936",
"유료인터넷 및 통신강좌 등","평  균[만원]","만원",".42745",
"유료인터넷 및 통신강좌 등","상위10% 이내[만원]","만원",".6312",
"유료인터넷 및 통신강좌 등","11 ~ 30%[만원]","만원",".47904",
"유료인터넷 및 통신강좌 등","31 ~ 60%[만원]","만원",".49746",
"유료인터넷 및 통신강좌 등","61 ~ 80%[만원]","만원",".36123",
"유료인터넷 및 통신강좌 등","81 ~ 100%[만원]","만원",".22401",
"유형: 예체능,취미,교양 사교육","평  균[만원]","만원","5.24611",
"유형: 예체능,취미,교양 사교육","상위10% 이내[만원]","만원","2.05063",
"유형: 예체능,취미,교양 사교육","11 ~ 30%[만원]","만원","3.70689",
"유형: 예체능,취미,교양 사교육","31 ~ 60%[만원]","만원","5.36108",
"유형: 예체능,취미,교양 사교육","61 ~ 80%[만원]","만원","6.67774",
"유형: 예체능,취미,교양 사교육","81 ~ 100%[만원]","만원","6.90852",
"개인과외","평  균[만원]","만원","1.46015",
"개인과외","상위10% 이내[만원]","만원","1.03164",
"개인과외","11 ~ 30%[만원]","만원","1.22997",
"개인과외","31 ~ 60%[만원]","만원","1.46934",
"개인과외","61 ~ 80%[만원]","만원","1.80352",
"개인과외","81 ~ 100%[만원]","만원","1.56076",
"그룹과외","평  균[만원]","만원",".2233",
"그룹과외","상위10% 이내[만원]","만원",".08307",
"그룹과외","11 ~ 30%[만원]","만원",".14383",
"그룹과외","31 ~ 60%[만원]","만원",".1692",
"그룹과외","61 ~ 80%[만원]","만원",".33985",
"그룹과외","81 ~ 100%[만원]","만원",".34498",
"학원수강","평  균[만원]","만원","3.46672",
"학원수강","상위10% 이내[만원]","만원",".88781",
"학원수강","11 ~ 30%[만원]","만원","2.28604",
"학원수강","31 ~ 60%[만원]","만원","3.65855",
"학원수강","61 ~ 80%[만원]","만원","4.41917",
"학원수강","81 ~ 100%[만원]","만원","4.80041",
"방문수업 및 기타","평  균[만원]","만원",".09593",
"방문수업 및 기타","상위10% 이내[만원]","만원",".04811",
"방문수업 및 기타","11 ~ 30%[만원]","만원",".04705",
"방문수업 및 기타","31 ~ 60%[만원]","만원",".064",
"방문수업 및 기타","61 ~ 80%[만원]","만원",".11521",
"방문수업 및 기타","81 ~ 100%[만원]","만원",".20238",
